algoritmo,metrica,entorno,resolucion_deg,repeticion,segmento,inicio_q,meta_q,exito,tiempo_planificacion_s,longitud_geometrica_rad,longitud_continua_rad,longitud_cartesiana_m,duracion_trayectoria_s,jerk_acumulado,manipulabilidad_min,manipulabilidad_mean,camino_grados
astar,L1,E0,6.0,3,W2->W3,"[0.0, 90.0, 40.0]","[90.0, 120.0, 110.0]",1,0.01268,3.2463,3.345,0.6,12.4,4154.8,0.00123,0.00293,"[[0.0, 90.0, 42.0], [0.0, 90.0, 48.0], [0.0, 96.0, 48.0], [0.0, 96.0, 54.0], [0.0, 96.0, 60.0], [0.0, 96.0, 66.0], [0.0, 96.0, 72.0], [0.0, 102.0, 72.0], [0.0, 102.0, 78.0], [0.0, 102.0, 84.0], [6.0, 102.0, 84.0], [12.0, 102.0, 84.0], [12.0, 102.0, 90.0], [18.0, 102.0, 90.0], [24.0, 102.0, 90.0], [24.0, 102.0, 96.0], [30.0, 102.0, 96.0], [36.0, 102.0, 96.0], [42.0, 102.0, 96.0], [42.0, 102.0, 102.0], [42.0, 108.0, 102.0], [42.0, 114.0, 102.0], [42.0, 114.0, 108.0], [48.0, 114.0, 108.0], [54.0, 114.0, 108.0], [60.0, 114.0, 108.0], [66.0, 114.0, 108.0], [72.0, 114.0, 108.0], [72.0, 120.0, 108.0], [78.0, 120.0, 108.0], [84.0, 120.0, 108.0], [90.0, 120.0, 108.0]]"
astar,L1,E0,6.0,3,W3->W4,"[90.0, 120.0, 110.0]","[180.0, 150.0, 90.0]",1,0.01047,2.4086,2.4346,0.3921,9.2,1281.27,0.00305,0.00377,"[[90.0, 120.0, 108.0], [90.0, 120.0, 102.0], [90.0, 120.0, 96.0], [90.0, 120.0, 90.0], [90.0, 126.0, 90.0], [90.0, 132.0, 90.0], [90.0, 138.0, 90.0], [90.0, 144.0, 90.0], [96.0, 144.0, 90.0], [102.0, 144.0, 90.0], [108.0, 144.0, 90.0], [114.0, 144.0, 90.0], [120.0, 144.0, 90.0], [126.0, 144.0, 90.0], [132.0, 144.0, 90.0], [138.0, 144.0, 90.0], [144.0, 144.0, 90.0], [150.0, 144.0, 90.0], [156.0, 144.0, 90.0], [162.0, 144.0, 90.0], [168.0, 144.0, 90.0], [168.0, 150.0, 90.0], [174.0, 150.0, 90.0], [180.0, 150.0, 90.0]]"
astar,L1,E0,6.0,4,W0->W1,"[180.0, 150.0, 90.0]","[-90.0, 170.0, 110.0]",1,0.01,2.1991,2.2121,0.2129,8.4,794.57,0.00226,0.00247,"[[180.0, 150.0, 90.0], [180.0, 150.0, 96.0], [180.0, 150.0, 102.0], [180.0, 150.0, 108.0], [180.0, 156.0, 108.0], [180.0, 162.0, 108.0], [180.0, 168.0, 108.0], [186.0, 168.0, 108.0], [192.0, 168.0, 108.0], [198.0, 168.0, 108.0], [204.0, 168.0, 108.0], [210.0, 168.0, 108.0], [216.0, 168.0, 108.0], [222.0, 168.0, 108.0], [228.0, 168.0, 108.0], [234.0, 168.0, 108.0], [240.0, 168.0, 108.0], [246.0, 168.0, 108.0], [252.0, 168.0, 108.0], [258.0, 168.0, 108.0], [264.0, 168.0, 108.0], [270.0, 168.0, 108.0]]"
astar,L1,E0,6.0,4,W1->W2,"[-90.0, 170.0, 110.0]","[0.0, 90.0, 40.0]",1,0.06289,4.0841,4.1233,0.8611,15.6,1934.46,0.0012,0.00216,"[[270.0, 168.0, 108.0], [270.0, 162.0, 108.0], [270.0, 156.0, 108.0], [270.0, 150.0, 108.0], [270.0, 144.0, 108.0], [270.0, 138.0, 108.0], [270.0, 132.0, 108.0], [270.0, 126.0, 108.0], [270.0, 120.0, 108.0], [270.0, 114.0, 108.0], [270.0, 108.0, 108.0], [270.0, 102.0, 108.0], [270.0, 102.0, 102.0], [270.0, 102.0, 96.0], [270.0, 102.0, 90.0], [270.0, 102.0, 84.0], [270.0, 102.0, 78.0], [270.0, 102.0, 72.0], [270.0, 96.0, 72.0], [270.0, 96.0, 66.0], [270.0, 96.0, 60.0], [270.0, 96.0, 54.0], [270.0, 96.0, 48.0], [270.0, 90.0, 48.0], [270.0, 90.0, 42.0], [276.0, 90.0, 42.0], [282.0, 90.0, 42.0], [288.0, 90.0, 42.0], [294.0, 90.0, 42.0], [300.0, 90.0, 42.0], [306.0, 90.0, 42.0], [312.0, 90.0, 42.0], [318.0, 90.0, 42.0], [324.0, 90.0, 42.0], [330.0, 90.0, 42.0], [336.0, 90.0, 42.0], [342.0, 90.0, 42.0], [348.0, 90.0, 42.0], [354.0, 90.0, 42.0], [0.0, 90.0, 42.0]]"
astar,L1,E0,6.0,4,W2->W3,"[0.0, 90.0, 40.0]","[90.0, 120.0, 110.0]",1,0.01093,3.2463,3.345,0.6,12.4,4154.8,0.00123,0.00293,"[[0.0, 90.0, 42.0], [0.0, 90.0, 48.0], [0.0, 96.0, 48.0], [0.0, 96.0, 54.0], [0.0, 96.0, 60.0], [0.0, 96.0, 66.0], [0.0, 96.0, 72.0], [0.0, 102.0, 72.0], [0.0, 102.0, 78.0], [0.0, 102.0, 84.0], [6.0, 102.0, 84.0], [12.0, 102.0, 84.0], [12.0, 102.0, 90.0], [18.0, 102.0, 90.0], [24.0, 102.0, 90.0], [24.0, 102.0, 96.0], [30.0, 102.0, 96.0], [36.0, 102.0, 96.0], [42.0, 102.0, 96.0], [42.0, 102.0, 102.0], [42.0, 108.0, 102.0], [42.0, 114.0, 102.0], [42.0, 114.0, 108.0], [48.0, 114.0, 108.0], [54.0, 114.0, 108.0], [60.0, 114.0, 108.0], [66.0, 114.0, 108.0], [72.0, 114.0, 108.0], [72.0, 120.0, 108.0], [78.0, 120.0, 108.0], [84.0, 120.0, 108.0], [90.0, 120.0, 108.0]]"
astar,L1,E0,6.0,4,W3->W4,"[90.0, 120.0, 110.0]","[180.0, 150.0, 90.0]",1,0.01279,2.4086,2.4346,0.3921,9.2,1281.27,0.00305,0.00377,"[[90.0, 120.0, 108.0], [90.0, 120.0, 102.0], [90.0, 120.0, 96.0], [90.0, 120.0, 90.0], [90.0, 126.0, 90.0], [90.0, 132.0, 90.0], [90.0, 138.0, 90.0], [90.0, 144.0, 90.0], [96.0, 144.0, 90.0], [102.0, 144.0, 90.0], [108.0, 144.0, 90.0], [114.0, 144.0, 90.0], [120.0, 144.0, 90.0], [126.0, 144.0, 90.0], [132.0, 144.0, 90.0], [138.0, 144.0, 90.0], [144.0, 144.0, 90.0], [150.0, 144.0, 90.0], [156.0, 144.0, 90.0], [162.0, 144.0, 90.0], [168.0, 144.0, 90.0], [168.0, 150.0, 90.0], [174.0, 150.0, 90.0], [180.0, 150.0, 90.0]]"
astar,L1,E0,6.0,5,W0->W1,"[180.0, 150.0, 90.0]","[-90.0, 170.0, 110.0]",1,0.00902,2.1991,2.2121,0.2129,8.4,794.57,0.00226,0.00247,"[[180.0, 150.0, 90.0], [180.0, 150.0, 96.0], [180.0, 150.0, 102.0], [180.0, 150.0, 108.0], [180.0, 156.0, 108.0], [180.0, 162.0, 108.0], [180.0, 168.0, 108.0], [186.0, 168.0, 108.0], [192.0, 168.0, 108.0], [198.0, 168.0, 108.0], [204.0, 168.0, 108.0], [210.0, 168.0, 108.0], [216.0, 168.0, 108.0], [222.0, 168.0, 108.0], [228.0, 168.0, 108.0], [234.0, 168.0, 108.0], [240.0, 168.0, 108.0], [246.0, 168.0, 108.0], [252.0, 168.0, 108.0], [258.0, 168.0, 108.0], [264.0, 168.0, 108.0], [270.0, 168.0, 108.0]]"
astar,L1,E0,6.0,5,W1->W2,"[-90.0, 170.0, 110.0]","[0.0, 90.0, 40.0]",1,0.072,4.0841,4.1233,0.8611,15.6,1934.46,0.0012,0.00216,"[[270.0, 168.0, 108.0], [270.0, 162.0, 108.0], [270.0, 156.0, 108.0], [270.0, 150.0, 108.0], [270.0, 144.0, 108.0], [270.0, 138.0, 108.0], [270.0, 132.0, 108.0], [270.0, 126.0, 108.0], [270.0, 120.0, 108.0], [270.0, 114.0, 108.0], [270.0, 108.0, 108.0], [270.0, 102.0, 108.0], [270.0, 102.0, 102.0], [270.0, 102.0, 96.0], [270.0, 102.0, 90.0], [270.0, 102.0, 84.0], [270.0, 102.0, 78.0], [270.0, 102.0, 72.0], [270.0, 96.0, 72.0], [270.0, 96.0, 66.0], [270.0, 96.0, 60.0], [270.0, 96.0, 54.0], [270.0, 96.0, 48.0], [270.0, 90.0, 48.0], [270.0, 90.0, 42.0], [276.0, 90.0, 42.0], [282.0, 90.0, 42.0], [288.0, 90.0, 42.0], [294.0, 90.0, 42.0], [300.0, 90.0, 42.0], [306.0, 90.0, 42.0], [312.0, 90.0, 42.0], [318.0, 90.0, 42.0], [324.0, 90.0, 42.0], [330.0, 90.0, 42.0], [336.0, 90.0, 42.0], [342.0, 90.0, 42.0], [348.0, 90.0, 42.0], [354.0, 90.0, 42.0], [0.0, 90.0, 42.0]]"
astar,L1,E0,6.0,5,W2->W3,"[0.0, 90.0, 40.0]","[90.0, 120.0, 110.0]",1,0.0109,3.2463,3.345,0.6,12.4,4154.8,0.00123,0.00293,"[[0.0, 90.0, 42.0], [0.0, 90.0, 48.0], [0.0, 96.0, 48.0], [0.0, 96.0, 54.0], [0.0, 96.0, 60.0], [0.0, 96.0, 66.0], [0.0, 96.0, 72.0], [0.0, 102.0, 72.0], [0.0, 102.0, 78.0], [0.0, 102.0, 84.0], [6.0, 102.0, 84.0], [12.0, 102.0, 84.0], [12.0, 102.0, 90.0], [18.0, 102.0, 90.0], [24.0, 102.0, 90.0], [24.0, 102.0, 96.0], [30.0, 102.0, 96.0], [36.0, 102.0, 96.0], [42.0, 102.0, 96.0], [42.0, 102.0, 102.0], [42.0, 108.0, 102.0], [42.0, 114.0, 102.0], [42.0, 114.0, 108.0], [48.0, 114.0, 108.0], [54.0, 114.0, 108.0], [60.0, 114.0, 108.0], [66.0, 114.0, 108.0], [72.0, 114.0, 108.0], [72.0, 120.0, 108.0], [78.0, 120.0, 108.0], [84.0, 120.0, 108.0], [90.0, 120.0, 108.0]]"
astar,L1,E0,6.0,5,W3->W4,"[90.0, 120.0, 110.0]","[180.0, 150.0, 90.0]",1,0.01117,2.4086,2.4346,0.3921,9.2,1281.27,0.00305,0.00377,"[[90.0, 120.0, 108.0], [90.0, 120.0, 102.0], [90.0, 120.0, 96.0], [90.0, 120.0, 90.0], [90.0, 126.0, 90.0], [90.0, 132.0, 90.0], [90.0, 138.0, 90.0], [90.0, 144.0, 90.0], [96.0, 144.0, 90.0], [102.0, 144.0, 90.0], [108.0, 144.0, 90.0], [114.0, 144.0, 90.0], [120.0, 144.0, 90.0], [126.0, 144.0, 90.0], [132.0, 144.0, 90.0], [138.0, 144.0, 90.0], [144.0, 144.0, 90.0], [150.0, 144.0, 90.0], [156.0, 144.0, 90.0], [162.0, 144.0, 90.0], [168.0, 144.0, 90.0], [168.0, 150.0, 90.0], [174.0, 150.0, 90.0], [180.0, 150.0, 90.0]]"
astar,L1,E0,8.0,1,W0->W1,"[180.0, 150.0, 90.0]","[-90.0, 170.0, 110.0]",1,0.00679,2.3736,2.391,0.2158,6.8,1387.92,0.00202,0.00228,"[[176.0, 152.0, 88.0], [176.0, 152.0, 96.0], [176.0, 152.0, 104.0], [176.0, 152.0, 112.0], [176.0, 160.0, 112.0], [176.0, 168.0, 112.0], [184.0, 168.0, 112.0], [192.0, 168.0, 112.0], [200.0, 168.0, 112.0], [208.0, 168.0, 112.0], [216.0, 168.0, 112.0], [224.0, 168.0, 112.0], [232.0, 168.0, 112.0], [240.0, 168.0, 112.0], [248.0, 168.0, 112.0], [256.0, 168.0, 112.0], [264.0, 168.0, 112.0], [272.0, 168.0, 112.0]]"
astar,L1,E0,8.0,1,W1->W2,"[-90.0, 170.0, 110.0]","[0.0, 90.0, 40.0]",1,0.02664,4.1888,4.2147,0.8733,12.0,1700.99,0.00099,0.00218,"[[272.0, 168.0, 112.0], [272.0, 160.0, 112.0], [272.0, 152.0, 112.0], [272.0, 144.0, 112.0], [272.0, 136.0, 112.0], [272.0, 128.0, 112.0], [272.0, 120.0, 112.0], [272.0, 120.0, 104.0], [272.0, 120.0, 96.0], [272.0, 120.0, 88.0], [272.0, 120.0, 80.0], [272.0, 120.0, 72.0], [272.0, 120.0, 64.0], [272.0, 120.0, 56.0], [272.0, 120.0, 48.0], [272.0, 120.0, 40.0], [272.0, 112.0, 40.0], [272.0, 104.0, 40.0], [272.0, 96.0, 40.0], [272.0, 88.0, 40.0], [280.0, 88.0, 40.0], [288.0, 88.0, 40.0], [296.0, 88.0, 40.0], [304.0, 88.0, 40.0], [312.0, 88.0, 40.0], [320.0, 88.0, 40.0], [328.0, 88.0, 40.0], [336.0, 88.0, 40.0], [344.0, 88.0, 40.0], [352.0, 88.0, 40.0], [0.0, 88.0, 40.0]]"
astar,L1,E0,8.0,1,W2->W3,"[0.0, 90.0, 40.0]","[90.0, 120.0, 110.0]",1,0.01828,3.351,3.412,0.6586,9.6,3680.25,0.00102,0.00263,"[[0.0, 88.0, 40.0], [0.0, 96.0, 40.0], [0.0, 104.0, 40.0], [8.0, 104.0, 40.0], [16.0, 104.0, 40.0], [24.0, 104.0, 40.0], [24.0, 112.0, 40.0], [32.0, 112.0, 40.0], [40.0, 112.0, 40.0], [48.0, 112.0, 40.0], [56.0, 112.0, 40.0], [56.0, 112.0, 48.0], [56.0, 112.0, 56.0], [56.0, 112.0, 64.0], [56.0, 112.0, 72.0], [56.0, 112.0, 80.0], [56.0, 112.0, 88.0], [56.0, 112.0, 96.0], [56.0, 112.0, 104.0], [56.0, 120.0, 104.0], [56.0, 120.0, 112.0], [64.0, 120.0, 112.0], [72.0, 120.0, 112.0], [80.0, 120.0, 112.0], [88.0, 120.0, 112.0]]"
astar,L1,E0,8.0,1,W3->W4,"[90.0, 120.0, 110.0]","[180.0, 150.0, 90.0]",1,0.00519,2.5133,2.5482,0.3341,7.2,2471.68,0.00265,0.00301,"[[88.0, 120.0, 112.0], [88.0, 128.0, 112.0], [88.0, 136.0, 112.0], [88.0, 144.0, 112.0], [88.0, 144.0, 104.0], [88.0, 152.0, 104.0], [96.0, 152.0, 104.0], [104.0, 152.0, 104.0], [112.0, 152.0, 104.0], [120.0, 152.0, 104.0], [128.0, 152.0, 104.0], [136.0, 152.0, 104.0], [144.0, 152.0, 104.0], [152.0, 152.0, 104.0], [160.0, 152.0, 104.0], [168.0, 152.0, 104.0], [176.0, 152.0, 104.0], [176.0, 152.0, 96.0], [176.0, 152.0, 88.0]]"
astar,L1,E0,8.0,2,W0->W1,"[180.0, 150.0, 90.0]","[-90.0, 170.0, 110.0]",1,0.00652,2.3736,2.391,0.2158,6.8,1387.92,0.00202,0.00228,"[[176.0, 152.0, 88.0], [176.0, 152.0, 96.0], [176.0, 152.0, 104.0], [176.0, 152.0, 112.0], [176.0, 160.0, 112.0], [176.0, 168.0, 112.0], [184.0, 168.0, 112.0], [192.0, 168.0, 112.0], [200.0, 168.0, 112.0], [208.0, 168.0, 112.0], [216.0, 168.0, 112.0], [224.0, 168.0, 112.0], [232.0, 168.0, 112.0], [240.0, 168.0, 112.0], [248.0, 168.0, 112.0], [256.0, 168.0, 112.0], [264.0, 168.0, 112.0], [272.0, 168.0, 112.0]]"
astar,L1,E0,8.0,2,W1->W2,"[-90.0, 170.0, 110.0]","[0.0, 90.0, 40.0]",1,0.02909,4.1888,4.2147,0.8733,12.0,1700.99,0.00099,0.00218,"[[272.0, 168.0, 112.0], [272.0, 160.0, 112.0], [272.0, 152.0, 112.0], [272.0, 144.0, 112.0], [272.0, 136.0, 112.0], [272.0, 128.0, 112.0], [272.0, 120.0, 112.0], [272.0, 120.0, 104.0], [272.0, 120.0, 96.0], [272.0, 120.0, 88.0], [272.0, 120.0, 80.0], [272.0, 120.0, 72.0], [272.0, 120.0, 64.0], [272.0, 120.0, 56.0], [272.0, 120.0, 48.0], [272.0, 120.0, 40.0], [272.0, 112.0, 40.0], [272.0, 104.0, 40.0], [272.0, 96.0, 40.0], [272.0, 88.0, 40.0], [280.0, 88.0, 40.0], [288.0, 88.0, 40.0], [296.0, 88.0, 40.0], [304.0, 88.0, 40.0], [312.0, 88.0, 40.0], [320.0, 88.0, 40.0], [328.0, 88.0, 40.0], [336.0, 88.0, 40.0], [344.0, 88.0, 40.0], [352.0, 88.0, 40.0], [0.0, 88.0, 40.0]]"
